stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-10000000.0,0,0,0.0,0.0
pre-PA,-10000000.0,1,0,-20.24077566297519,-10.04058884793264
pre-PA,-10000000.0,0,1,-13.308178053776986,140.8390976438749
pre-PA,-10000000.0,1,1,0.0,0.0
pre-PA,-9960937.5,0,0,0.0,0.0
pre-PA,-9960937.5,1,0,-20.24001898891404,-10.146464279504736
pre-PA,-9960937.5,0,1,-13.30240646941206,140.40916556067464
pre-PA,-9960937.5,1,1,0.0,0.0
pre-PA,-9921875.0,0,0,0.0,0.0
pre-PA,-9921875.0,1,0,-20.239252837834304,-10.25222004973938
pre-PA,-9921875.0,0,1,-13.296665388919674,139.97916862868877
pre-PA,-9921875.0,1,1,0.0,0.0
pre-PA,-9882812.5,0,0,0.0,0.0
pre-PA,-9882812.5,1,0,-20.238477149751155,-10.35785697627304
pre-PA,-9882812.5,0,1,-13.29095480860258,139.54910723882693
pre-PA,-9882812.5,1,1,0.0,0.0
pre-PA,-9843750.0,0,0,0.0,0.0
pre-PA,-9843750.0,1,0,-20.237691865106044,-10.463375879382868
pre-PA,-9843750.0,0,1,-13.28527472476024,139.11898178122857
pre-PA,-9843750.0,1,1,0.0,0.0
pre-PA,-9804687.5,0,0,0.0,0.0
pre-PA,-9804687.5,1,0,-20.236896924770992,-10.568777581969794
pre-PA,-9804687.5,0,1,-13.279625133689253,138.68879264526768
pre-PA,-9804687.5,1,1,0.0,0.0
pre-PA,-9765625.0,0,0,0.0,0.0
pre-PA,-9765625.0,1,0,-20.23609227005292,-10.674062909541458
pre-PA,-9765625.0,0,1,-13.27400603168368,138.25854021955757
pre-PA,-9765625.0,1,1,0.0,0.0
pre-PA,-9726562.5,0,0,0.0,0.0
pre-PA,-9726562.5,1,0,-20.235277842697915,-10.77923269019473
pre-PA,-9726562.5,0,1,-13.268417415035437,137.8282248919557
pre-PA,-9726562.5,1,1,0.0,0.0
pre-PA,-9687500.0,0,0,0.0,0.0
pre-PA,-9687500.0,1,0,-20.234453584895498,-10.884287754598182
pre-PA,-9687500.0,0,1,-13.262859280034647,137.39784704956827
pre-PA,-9687500.0,1,1,0.0,0.0
pre-PA,-9648437.5,0,0,0.0,0.0
pre-PA,-9648437.5,1,0,-20.233619439282865,-10.989228935973953
pre-PA,-9648437.5,0,1,-13.257331622970003,136.96740707875512
pre-PA,-9648437.5,1,1,0.0,0.0
pre-PA,-9609375.0,0,0,0.0,0.0
pre-PA,-9609375.0,1,0,-20.232775348949122,-11.094057070079733
pre-PA,-9609375.0,0,1,-13.251834440129125,136.53690536513432
pre-PA,-9609375.0,1,1,0.0,0.0
pre-PA,-9570312.5,0,0,0.0,0.0
pre-PA,-9570312.5,1,0,-20.231921257439428,-11.198772995190104
pre-PA,-9570312.5,0,1,-13.246367727798901,136.106342293587
pre-PA,-9570312.5,1,1,0.0,0.0
pre-PA,-9531250.0,0,0,0.0,0.0
pre-PA,-9531250.0,1,0,-20.231057108759227,-11.303377552077933
pre-PA,-9531250.0,0,1,-13.240931482265859,135.6757182482619
pre-PA,-9531250.0,1,1,0.0,0.0
pre-PA,-9492187.5,0,0,0.0,0.0
pre-PA,-9492187.5,1,0,-20.230182847378355,-11.407871583995206
