modelName,frequencyHz,gainDb,phaseDegrees
rapp,-41000000.0,-9.919992249584645e-08,1.5333717098340835e-14
rapp,-39000000.0,-9.919992153151898e-08,-4.925031348356106e-15
rapp,-31000000.0,-9.919992153151898e-08,1.5255965362684768e-14
rapp,-29000000.0,-9.919992056719149e-08,-2.0484798601840203e-14
rapp,-21000000.0,-9.919992153151898e-08,1.638783888146851e-14
rapp,-19000000.0,-9.919991863853654e-08,-5.0853217875622755e-15
rapp,-11000000.0,-9.919992153151898e-08,1.4775094045070527e-14
rapp,-9000000.0,-9.919992346017392e-08,-1.3939742816674012e-14
rapp,-1000000.0,-9.919992153151898e-08,1.242149581228283e-14
rapp,1000000.0,-9.919992153151898e-08,-1.794216061774187e-14
rapp,9000000.0,-9.919992346017392e-08,1.3939742816674012e-14
rapp,11000000.0,-9.919992153151898e-08,-1.4775094045070527e-14
rapp,19000000.0,-9.919991863853654e-08,5.0853217875622755e-15
rapp,21000000.0,-9.919992153151898e-08,-1.638783888146851e-14
rapp,29000000.0,-9.919992056719149e-08,2.0484798601840203e-14
rapp,31000000.0,-9.919992153151898e-08,-1.5255965362684768e-14
rapp,39000000.0,-9.919992153151898e-08,4.925031348356106e-15
rapp,41000000.0,-9.919992249584645e-08,-1.5333717098340835e-14
wiener,-41000000.0,0.410903300130874,1.4668950413818405
wiener,-39000000.0,0.41232478831895925,1.2751296641659275
wiener,-31000000.0,0.3998542587948932,0.6049263265898785
wiener,-29000000.0,0.39350300092484186,0.46480036561716365
wiener,-21000000.0,0.36303633710389666,0.014684582999127676
wiener,-19000000.0,0.35535346506237164,-0.07258209689250195
wiener,-11000000.0,0.32999424390455456,-0.35113430638439425
wiener,-9000000.0,0.32558078185674566,-0.40964792320154414
wiener,-1000000.0,0.3165334243449431,-0.6443876188639921
wiener,1000000.0,0.3161266261883939,-0.7104297683357477
wiener,9000000.0,0.31773648750227457,-1.0398855817144161
wiener,11000000.0,0.31793055516206736,-1.142499283687865
wiener,19000000.0,0.3106774724163315,-1.6415833065690706
wiener,21000000.0,0.30559887930680435,-1.7868179032659306
wiener,29000000.0,0.26524820965688717,-2.423483283883675
wiener,31000000.0,0.24919487955576428,-2.5891700846853434
wiener,39000000.0,0.1573391328925099,-3.2248933607632106
wiener,41000000.0,0.12723969208005662,-3.3655848644137327
gmp,-41000000.0,0.35318498804325443,1.038382724896075
gmp,-39000000.0,0.3512105402083264,0.8492214744604628
gmp,-31000000.0,0.3229172476124809,0.20461574959878098
gmp,-29000000.0,0.3121596357284926,0.07566803947911147
gmp,-21000000.0,0.2632495161687552,-0.29994824504207784
gmp,-19000000.0,0.2510192527566027,-0.36102436660329124
gmp,-11000000.0,0.2095510343450533,-0.4989677329638987
gmp,-9000000.0,0.20195670543585975,-0.5146256747669582
gmp,-1000000.0,0.18550193173651053,-0.5502383955464284
gmp,1000000.0,0.1847902666281698,-0.5621351145574098
gmp,9000000.0,0.19251364797460088,-0.6678421245405091
gmp,11000000.0,0.19606326604986973,-0.7158136374214626
gmp,19000000.0,0.20951369610030124,-1.0134962044460352
gmp,21000000.0,0.21121371678547826,-1.1154267966304239
gmp,29000000.0,0.20341920189698803,-1.615710979820811
gmp,31000000.0,0.1965268810245556,-1.7586069287939514
gmp,39000000.0,0.14390061580140637,-2.3514791452496158
gmp,41000000.0,0.12387197083071311,-2.4950863322654793
doherty,-41000000.0,0.410903300130874,1.4668950413818405
doherty,-39000000.0,0.41232478831895925,1.2751296641659275
doherty,-31000000.0,0.3998542587948932,0.6049263265898785
doherty,-29000000.0,0.39350300092484186,0.46480036561716365
doherty,-21000000.0,0.36303633710389666,0.014684582999127676
doherty,-19000000.0,0.35535346506237164,-0.07258209689250195
doherty,-11000000.0,0.32999424390455456,-0.35113430638439425
doherty,-9000000.0,0.32558078185674566,-0.40964792320154414
doherty,-1000000.0,0.3165334243449431,-0.6443876188639921
doherty,1000000.0,0.3161266261883939,-0.7104297683357477
doherty,9000000.0,0.31773648750227457,-1.0398855817144161
doherty,11000000.0,0.31793055516206736,-1.142499283687865
doherty,19000000.0,0.3106774724163315,-1.6415833065690706
doherty,21000000.0,0.30559887930680435,-1.7868179032659306
doherty,29000000.0,0.26524820965688717,-2.423483283883675
doherty,31000000.0,0.24919487955576428,-2.5891700846853434
doherty,39000000.0,0.1573391328925099,-3.2248933607632106
doherty,41000000.0,0.12723969208005662,-3.3655848644137327
