modelName,toneSpacingHz,outputPowerDbm,im3LowerDbc,im3UpperDbc,im3WorstDbc,im5WorstDbc,im7WorstDbc,im3AsymmetryDb
rapp,500000.0,20.010957597029122,-56.25194888206356,-56.25194888206357,-56.25194888206356,-65.91614930122303,-83.2207784201882,-1.4210854715202004e-14
rapp,1000000.0,19.966580636907402,-56.27675291595618,-56.27675291595618,-56.27675291595618,-65.90675489669863,-83.23065577268487,0.0
rapp,2000000.0,19.987011930778202,-56.27690635036939,-56.2769063503694,-56.27690635036939,-65.91105046239332,-83.23361295406465,-1.4210854715202004e-14
rapp,4000000.0,19.977438267211145,-56.287775293801474,-56.287775293801474,-56.287775293801474,-65.92142783004894,-83.2435145204779,0.0
rapp,8000000.0,19.976358841089557,-56.303991424319115,-56.30399142431912,-56.303991424319115,-65.93748729853515,-83.25874400392728,-7.105427357601002e-15
rapp,12000000.0,19.97639625922377,-56.298967309188384,-56.2989673091884,-56.298967309188384,-65.93251755244714,-83.25403126017787,-1.4210854715202004e-14
wiener,500000.0,20.095596427469644,-40.929485136913996,-40.93031541336225,-40.929485136913996,-63.561451964005606,-85.73304645091694,-0.0008302764482550629
wiener,1000000.0,20.051219236042428,-40.93070250154255,-40.93049661861434,-40.93049661861434,-63.55907247688862,-85.74765965644988,0.0002058829282063357
wiener,2000000.0,20.071705624314948,-40.9312378122797,-40.93133026322641,-40.9312378122797,-63.56182221428632,-85.75044807582275,-9.24509467097323e-05
wiener,4000000.0,20.062345316705752,-40.933620040324776,-40.93370286973558,-40.933620040324776,-63.56826327997347,-85.75917302263554,-8.282941080750561e-05
wiener,8000000.0,20.06209148384388,-40.936402999172905,-40.9366331435242,-40.936402999172905,-63.57596508318806,-85.7695051745911,-0.00023014435129198318
wiener,12000000.0,20.063499642009894,-40.932935043325145,-40.93335974972122,-40.932935043325145,-63.566877061053546,-85.75721709385485,-0.0004247063960747255
gmp,500000.0,20.122137157188536,-52.25078155115085,-48.3575754762154,-48.3575754762154,-87.12739128745926,-128.33588165947907,3.893206074935449
gmp,1000000.0,20.077749303182344,-54.56879390878246,-46.84994712807972,-46.84994712807972,-87.21719251523737,-129.4070963417727,7.718846780702741
gmp,2000000.0,20.09770320908214,-56.18114496433837,-44.44077086035608,-44.44077086035608,-87.19806260523893,-129.55045547642254,11.74037410398229
gmp,4000000.0,20.086656315491666,-48.4586282342174,-41.219391203972265,-41.219391203972265,-87.17865036569299,-129.49904778425127,7.239237030245135
gmp,8000000.0,20.081741696824842,-41.526789375208594,-38.09589545516683,-38.09589545516683,-87.17448152865556,-129.50890105729948,3.430893920041761
gmp,12000000.0,20.0804047424581,-39.338664720366616,-37.27314291722786,-37.27314291722786,-87.22151596674115,-129.62900058878918,2.0655218031387577
doherty,500000.0,20.104842628340116,-39.08744919992283,-39.08769063951865,-39.08744919992283,-53.2588413415337,-62.2937784823762,-0.00024143959581834906
doherty,1000000.0,20.06008093039414,-39.085240259838784,-39.08497111808409,-39.08497111808409,-53.26022250665864,-62.295069452412896,0.0002691417546927255
doherty,2000000.0,20.080756265422735,-39.086915161048296,-39.08672059852869,-39.08672059852869,-53.256818207885075,-62.2969279334994,0.00019456251960292548
doherty,4000000.0,20.071135331994775,-39.09085961815181,-39.09150633610345,-39.09085961815181,-53.245726574043175,-62.301964792243126,-0.0006467179516391752
doherty,8000000.0,20.07073101383628,-39.09199199248582,-39.10160644506752,-39.09199199248582,-53.20615020762137,-62.26063271193763,-0.00961445258169391
doherty,12000000.0,20.07221480286058,-39.07877061782655,-39.11227420755753,-39.07877061782655,-53.182627788522424,-62.2615861763726,-0.03350358973098366
